method,sigma,accuracy,f1,precision,recall
Uniform,0.0,0.9824561403508771,0.9861111111111112,0.9726027397260274,1.0
Uniform,0.25,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493
Uniform,0.5,0.9385964912280702,0.951048951048951,0.9444444444444444,0.9577464788732394
Uniform,0.75,0.9210526315789473,0.9370629370629371,0.9305555555555556,0.9436619718309859
Uniform,1.0,0.9035087719298246,0.9197080291970803,0.9545454545454546,0.8873239436619719
Uniform,1.5,0.6403508771929824,0.616822429906542,0.9166666666666666,0.4647887323943662
Uniform,2.0,0.40350877192982454,0.08108108108108109,1.0,0.04225352112676056
Uniform,2.5,0.37719298245614036,0.0,0.0,0.0
Uniform,3.0,0.37719298245614036,0.0,0.0,0.0
Euclidean Distance,0.0,0.956140350877193,0.9645390070921985,0.9714285714285714,0.9577464788732394
Euclidean Distance,0.25,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493
Euclidean Distance,0.5,0.9298245614035088,0.9444444444444444,0.9315068493150684,0.9577464788732394
Euclidean Distance,0.75,0.8508771929824561,0.8740740740740741,0.921875,0.8309859154929577
Euclidean Distance,1.0,0.8070175438596491,0.8333333333333334,0.9016393442622951,0.7746478873239436
Euclidean Distance,1.5,0.631578947368421,0.6181818181818182,0.8717948717948718,0.4788732394366197
Euclidean Distance,2.0,0.4298245614035088,0.21686746987951808,0.75,0.1267605633802817
Euclidean Distance,2.5,0.37719298245614036,0.0,0.0,0.0
Euclidean Distance,3.0,0.37719298245614036,0.0,0.0,0.0
RBF Kernel,0.0,0.9824561403508771,0.9861111111111112,0.9726027397260274,1.0
RBF Kernel,0.25,0.956140350877193,0.965034965034965,0.9583333333333334,0.971830985915493
RBF Kernel,0.5,0.9385964912280702,0.9517241379310345,0.9324324324324325,0.971830985915493
RBF Kernel,0.75,0.9210526315789473,0.9370629370629371,0.9305555555555556,0.9436619718309859
RBF Kernel,1.0,0.8596491228070176,0.8857142857142857,0.8985507246376812,0.8732394366197183
RBF Kernel,1.5,0.8421052631578947,0.8676470588235294,0.9076923076923077,0.8309859154929577
RBF Kernel,2.0,0.6842105263157895,0.797752808988764,0.6635514018691588,1.0
RBF Kernel,2.5,0.6228070175438597,0.7675675675675676,0.6228070175438597,1.0
RBF Kernel,3.0,0.6228070175438597,0.7675675675675676,0.6228070175438597,1.0
Density Ratio,0.0,0.9736842105263158,0.9790209790209791,0.9722222222222222,0.9859154929577465
Density Ratio,0.25,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493
Density Ratio,0.5,0.9385964912280702,0.951048951048951,0.9444444444444444,0.9577464788732394
Density Ratio,0.75,0.9122807017543859,0.9295774647887324,0.9295774647887324,0.9295774647887324
Density Ratio,1.0,0.9035087719298246,0.9197080291970803,0.9545454545454546,0.8873239436619719
Density Ratio,1.5,0.6666666666666666,0.6545454545454545,0.9230769230769231,0.5070422535211268
Density Ratio,2.0,0.40350877192982454,0.08108108108108109,1.0,0.04225352112676056
Density Ratio,2.5,0.37719298245614036,0.0,0.0,0.0
Density Ratio,3.0,0.37719298245614036,0.0,0.0,0.0
