method,noise_rate,noise_pct,mse,r2,mae,mse_increase_pct
Baseline Ridge,0.0,0,2892.014565750171,0.45414652070698247,42.81199941834888,0.0
Baseline Ridge,0.05,5,2965.2765209151144,0.4499659274069495,43.33223557582492,2.5332498678456505
Baseline Ridge,0.1,10,3045.046405855944,0.44773769365168903,44.41981808416569,5.291530752234556
Baseline Ridge,0.15,15,3303.9947344366233,0.40593022290964065,45.90363224165859,14.24543892570565
Baseline Ridge,0.2,20,3361.8379341011814,0.409585521229483,46.87071743061596,16.245539490536448
Baseline Ridge,0.25,25,3658.318535623003,0.377990420649134,49.59610773515735,26.497237564018185
Baseline Ridge,0.3,30,3934.0930724187683,0.36199003610500613,50.19262415945459,36.03296190170772
Baseline Ridge,0.4,40,4858.640035054294,0.2868021432090637,54.893616841212975,68.00192131100113
Baseline Ridge,0.5,50,5447.068726992246,0.24993223971780953,58.64657510126747,88.34859241379061
Ridge + Noise Injection,0.0,0,2908.032942352024,0.4511231311624423,42.80150772280355,0.5538829849460866
Ridge + Noise Injection,0.05,5,2981.754869288968,0.4469093311665149,43.321743880279584,3.10303774405503
Ridge + Noise Injection,0.1,10,3060.6241413900016,0.4449124506152683,44.45095927241166,5.830177262474958
Ridge + Noise Injection,0.15,15,3325.442757108371,0.40207379362577056,45.963701731492975,14.987068062908296
Ridge + Noise Injection,0.2,20,3386.2148757862155,0.4053043810909307,46.9855010071746,17.08844470870954
Ridge + Noise Injection,0.25,25,3683.4017898457287,0.373725613127344,49.71089131171597,27.36456563766567
Ridge + Noise Injection,0.3,30,3959.178507376358,0.35792181576629867,50.25328831223795,36.90036538074527
Ridge + Noise Injection,0.4,40,4875.074294104161,0.2843897647970496,54.921311937034595,68.57018466778004
Ridge + Noise Injection,0.5,50,5459.177351448985,0.2482648679107754,58.61361551660026,88.76728409674891
Huber Regression,0.0,0,2858.2435395111333,0.4605206352741036,42.76454092256096,-1.1677336151409679
Huber Regression,0.05,5,2935.19212956036,0.4555463311843455,43.28477708003701,1.492992612192774
Huber Regression,0.1,10,3013.215666829359,0.4535106491356472,44.12905934007344,4.190888334884619
Huber Regression,0.15,15,3236.9186947311073,0.4179907287998702,45.527845610581984,11.926085472237933
Huber Regression,0.2,20,3293.6085406000334,0.4215681398418163,46.47077173194474,13.886305401290091
Huber Regression,0.25,25,3572.604084608763,0.3925641132077504,49.19616203648611,23.533405637673578
Huber Regression,0.3,30,3852.533652063337,0.3752169023428892,50.081904257150825,33.21280251104174
Huber Regression,0.4,40,4799.376378756502,0.2955014319713989,54.92193001013315,65.95270423582991
Huber Regression,0.5,50,5411.130219189497,0.25488101444538247,58.90268009702952,87.1059116808384
Ridge + Bagging,0.0,0,2925.3894377377896,0.44784717830008314,43.11086825535082,1.1540354043466312
Ridge + Bagging,0.05,5,2997.8262147497617,0.4439282305731975,43.61015038406624,3.6587522847466567
Ridge + Bagging,0.1,10,3076.48954403111,0.44203503507346464,44.70842301897499,6.378770718019787
Ridge + Bagging,0.15,15,3346.939211973473,0.3982086560646111,46.21418112992731,15.730371887158773
Ridge + Bagging,0.2,20,3405.0724882125314,0.40199255951303636,47.1875261023627,17.740502711793088
Ridge + Bagging,0.25,25,3715.122499416888,0.36833226505638184,49.91291640690407,28.461403459536434
Ridge + Bagging,0.3,30,3990.946190155429,0.3527699045710606,50.53448015684208,37.99882744090542
Ridge + Bagging,0.4,40,4912.827499874107,0.27884798659412646,55.25693391793523,69.87561397705994
Ridge + Bagging,0.5,50,5493.33140427687,0.24356181472875393,58.97145467175858,89.94826199472936
